# colloquial surface -> English canonical, for `indicator build-lexicon --aliases`.
# Generated by fine-tuning/tool_aliases.py from the benchmark indicator sheets;
# edit those, or add curated rows below the generated block, and regenerate.
# 2,229 pairs over 2,193 surfaces, from 3,370 sheet rows.
%BC	% B Cell
%CTNKC	% Cytotoxic NK cells
%Lym	% Lymphocyte
%NKC	% NK Cell
%NKT	% NKT
%RTC	% Regulatory T Cell
%TC	% T Cell
%TCT(CD8)C	% Cytotoxic (CD8) T Cell
%TTH(CD4)C	% T-Helper (CD4) Cell
%TTH17C	% T-Helper-17
%TTH1C	% T-Helper-1 Cell
%TTH2C	% T-Helper-2 Cell
%ω-3	%Omega-3s
1,25(OH)2D	1,25-dihydroxyvitamin D
1,25-二羟基维生素D	1,25-dihydroxyvitamin D
1-甲基组氨酸	1-Methylhistidine
10 年骨折风险	10-year Fracture Risk
13C - UBT	Excess 13C UBT
13C-尿素呼气试验	Excess 13C UBT
14C-UBT	Carbon-14 urea breath test
1秒率	FEV1/FVC Ratio
2-氧代-3-甲基戊酸/肌酐比	2-Keto-3-methylvaleric acid/Creatinine Ratio
2-氧代异己酸/肌酐比	2-Keto-isocaproic acid/Creatinine Ratio
2-氧代异戊酸/肌酐比	2-Keto-isovaleric acid/Creatinine Ratio
21 - 羟化酶（肾上腺皮质）	21-Hydroxylase (Adrenal Cortex)
21-OH	21-Hydroxylase (Adrenal Cortex)
24小时尿尿素	24-Hour Urine Urea
24小时尿肌酐	24-Hour Urine Creatinine
24小时尿蛋白定量	24-Hour Urine Protein Quantification
24小时尿量	24-Hour Urine Volum
24小时尿钙	24-hour Calcium, Urine
24小时尿钙排泄	24-Hour Urine Calcium Excretion
24小时白蛋白定量	24-Hour Urine Albumin Quantification
24小时肌酐尿量	24-hour Volume Creatinine
24小时肌酐排泄	24-hour creatinine excretion
24小时钙尿量	24-hour Volume Calcium
25(OH)D	25-Hydroxyvitamin D
25(OH)D2	25-Hydroxyvitamin D2
25(OH)D3	25-Hydroxyvitamin D3
25-羟基维生素D	25-Hydroxyvitamin D
25-羟基维生素D2	25-Hydroxyvitamin D2
25-羟基维生素D3	25-Hydroxyvitamin D3
2hPG	Two-hour Postprandial Plasma Glucose
2小时血糖	Two-hour Postprandial Plasma Glucose
3-甲基戊二酰肉碱	3-METHYLGLUTA C6:DC
3-甲基组氨酸	3-Methylhistidine
3-羟基丁酰肉碱	3-OH butyryl (C4-OH)
3-羟基亚油酰肉碱	3-OH LINOYLEYLCARN C18:2-OH
3-羟基十二烯酰肉碱	3-OH Dodecenoylcarnitine (C12:1-OH)
3-羟基十二烯酰肉碱 C12-OH	3OHDODECENOYLCARNITINE C12-OH
3-羟基十八酰肉碱	3OH-OCTADECA C18-OH
3-羟基十六碳一烯酰肉碱	3-OH HEXADECENOYLCARN C16:1-OH
3-羟基十六酰肉碱	3-OH hexadecanoyl (C16-OH)
3-羟基十四碳一烯酰肉碱	3OHTETRADECENOYLCARN C14:1OH
3-羟基十四酰肉碱	3OHTETRADECANOYLCARN C14-OH
3-羟基己酰肉碱	3-hydroxyhexanoylcarnitine
3-羟基异戊酰肉碱	3-hydroxyisovalerylcarnitine
3-羟基油酰肉碱	3OHOLEYLCARNITINE C18:1OH
3-羟基癸烯酰肉碱	3-hydroxydecenoylcarnitine
3-羟基（β）丁酸/肌酐比	3-Hydroxybutyric acid/Creatinine Ratio
4-羟基苯丙酮酸/肌酐比	4-Hydroxyphenylpyruvic acid/Creatinine Ratio
4-羟基苯乙酸/肌酐比	4-Hydroxyphenylacetic acid/Creatinine Ratio
4-羟基苯乳酸/肌酐比	4-Hydroxyphenyllactic acid/Creatinine Ratio
5-HT	Serotonin
5-羟色胺	Serotonin
A. colihominis/massiliensis	Anaerotruncus colihominis/massiliensis
A. lumb	Ascaris lumbricoides
A. muciniphila	Akkermansia muciniphila
A/G	Albumin/Globulin Ratio
A1M	Alpha-1 Microglobulin
A2M	Alpha-2 Macroglobulin
AA	Arachidonic 20:4 n6
AA / EPA	Arachidonic acid /Eicosapentaenoic acid 20:4 n6 / 20:5 n3
AB	Actual Bicarbonate
ABE	Actual base excess
ABO/Rh	ABO/Rh Blood Group System
ABO/Rh血型	ABO/Rh Blood Group System
AC	Acylcarnitine
AC/FC	Acylcarnitine to Free Carnitine Ratio
ACPA-IgG	Anti-Citrullinated Protein IgG Antibodies
ACR	Microalb/Creatinine Ratio
ACh	Acetylcholine
AF - IgG+IgA	Aflatoxins IgG+IgA
AF - IgM	Aflatoxins IgM
AFP-L3	Lens Culinaris Agglutinin-reactive Alpha-fetoprotein
AFP-L3比率	Alpha-Fetoprotein L3 Ratio
AFU	α-L-fucosidase
AG	Anion Gap
AI	Arteriosclerosis Index
AKA	Anti-keratin antibody
ALA	Alpha Lipoic Acid
ALA	α-Linolenic18:3 n3
ALDOA	Aldolase
ALP	Alk Phosphatase
ALT	Alanine Aminotransferase
ALT	Alanine aminotransferase
AMA	Anti-mitochondrial antibody
AMH	Anti-Müllerian Hormone
ANA	Antinuclear Antibody
ANA	Antinuclear Antibody Screening
ANCA	Anti-neutrophil cytoplasmic antibodies
ANNA-1	Anti-neuronal nuclear antibody type 1
AP	Arthritic Peptide
APF	anti-perinuclear factor（APF）
APTT	Activated Partial Thromboplastin Time
APTTR	Activated Partial Thromboplastin Time Ratio
ASCA + ANCA	Anti - Saccharomyces Cerevisiae Antibody + Anti - Neutrophil Cytoplasmic Antibody
ASO	Anti-Streptolysin O
AST	Aspartate Aminotransferase
AST/ALT	Aspartate Aminotransferase/Alanine aminotransferase
ATIII	Antithrombin III
ATLC	Absolute T Lymphocyte Count
Ac%	Acetate %
Acto - IgA	Actomyosin IgA
Al	Aluminium
Anti - Ku	Anti-Ku antibodies
Anti-CASPR2	Anti-contactin-associated protein-like 2 antibodies
Anti-Ro	Anti-Ro antibodies
Anti-Sm	Anti-Smith antibodies
ApoA1	Apolipoprotein A1
ApoB	Apolipoprotein B
As	Arsenic
Asialo - Gang	Asialoganglioside
A型脂蛋白	Lipoprotein(a)
A抗体	Anti-A Antibody
A抗原	A Antigen
B 细胞百分比	% B Cell
B. coli	Balantidium coli
B. hominis	Blastocystis hominis
BASO%	Basophil Percentage
BBB - P - IgM	Blood Brain Barrier Protein IgM
BBB-P-IgG+IgA	Blood Brain Barrier Protein IgG+IgA
BE	Base Excess
BEecf	Base Excess of Extracellular Fluid
BGlu	Beta-glucuronidase
BNP	B-Type Natriuretic Peptide
BPA - BP - IgG+IgA	BPA Binding Protein IgG+IgA
BPA - BP - IgM	BPA Binding Protein IgM
BPA - IgG+IgA	Bisphenol A IgG+IgA
BPA - IgM	Bisphenol A IgM
BRC - IgG+IgA	Benzene Ring Compounds IgG+IgA
BRC - IgM	Benzene Ring Compounds IgM
BUN	Blood Urea Nitrogen
BUN/Cr	Urea Nitrogen/Creatinine Ratio
BV	Bacterial Vaginosis
Bac. spp.	Bacillus species
Barn. spp	Barnesiella spp
Baso#	Basophil,Absolute
Bif.	Bifidobacterium (Anaerobic Culture)
Bif. spp.	Bifidobacterium spp.
Blasto. spp	Blastocystis spp.
Blsl	Bifidobacterium longum subsp. Longum
Bu	Bacteroides uniformis
B型钠尿肽	B-Type Natriuretic Peptide
B抗体	Anti-B Antibody
B抗原	B Antigen
C-L Crystals	Charcot-Leyden Crystals
C-P	C-peptide
C-P (0.5h)	C-Peptide-30min
C-P (1h)	C-Peptide-1hour
C-P (2h)	C-Peptide-2hour
C-P (3h)	C-Peptide-3hour
C-肽(一小时)	C-Peptide-1hour
C-肽(三小时)	C-Peptide-3hour
C-肽(两小时)	C-Peptide-2hour
C-肽(半小时)	C-Peptide-30min
C. albicans	Candida albicans
C. albicans/C. dubliniensis	Candida albicans/dubliniensis
C. cayet	Cyclospora cayetanensis
C. mesnili	Chilomastix mesnili
C. parv./hominis	Cryptosporidium parvum/hominis
C. perfringens	Clostridium perfringens
C. philipp	Capillaria philippinensis
C./O. spp	Clonorchis/Opisthorchis spp.
C3	Complement C3
C4	Complement C4
CA Ab	Candida albicans Antibody
CA15-3	Carbohydrate Antigen 15-3
CA24-2	Carbohydrate Antigen 24-2
CA50	Carbohydrate Antigen 50
CA72-4	Carbohydrate Antigen 72-4
CASPR2-Ab	Anti-contactin associated protein-like 2 antibody
CC	Collagen Complex
CCK	Cholecystokinin
CD3 CD16 CD56%	Percentage of CD3-CD16+CD56
CD3 CD16 CD56抗体	CD3, CD16, and CD56 Antibody
CD3+CD4+/CD3+CD8+	Ratio of CD3+CD4+ T Helper Cells to CD3+CD8+
CD4/CD8 ratio	CD4/CD8 Ratio
CD4/CD8 比值	CD4/CD8 Ratio
CENP-B	Centromere B Antibodies
CHE	Cholinesterase
CK	creatine kinase
CK-MB	Creatine Kinase - MB
CM	Chylomicron
COHb	Carboxyhemoglobin
CP	Calprotectin †
CRH	Corticotropin-Releasing Hormone
